R. Ibrahim | TVK | Udhagamandalam
A. Deepak Sai Kishore | TVK | Gudalur
C. Thangaraj | TVK | Coonoor
N. Sunil Anand | TVK | Mettuppalayam
S. Kamali | TVK | Avanashi (SC)
Sathyabama | TVK | Tiruppur (North)
K . Ramkumar | TVK | Palladam
N.M. Sukumar | TVK | Sulur
R. T. Kanimozhi | TVK | Kavundampalayam
V. Sampathkumar | TVK | Coimbatore (North)
R. Sathish Raju | TVK | Thondamuthur
V. Senthil Kumar | TVK | Coimbatore (South)
K.S. Giriprashath | TVK | Singanallur
K. Vignesh | TVK | Kinathukadavu
G. Ramanathan | TVK | Pollachi
Dr. Sreedharan | TVK | Valparai
G. K. Shankar | TVK | Udumalaipettai
R. Thirumalai | TVK | Madathukulam
Dr. M. Praveenkumar | TVK | Palani
S. Mohan | TVK | Oddanchatram
N. Kalaiselvi | TVK | Athoor
R. Ayyanar | TVK | Nilakkottai
L. L.  Ramesh | TVK | Natham
Nazeer Raja | TVK | Dindigul
Dr N.Nagajothi | TVK | Vedasandur
V.P.Mathiyalagan | TVK | Karur
S.Madhan | TVK | Krishnarayapuram
G.Balasubramani | TVK | Kulithalai
R.Kathiravan | TVK | Manapparai
S.Ramesh | TVK | Srirangam
G.Ramamoorthy | TVK | Tiruchirappalli (West)
C Joseph Vijay | TVK | Tiruchirappalli (East)
Navalpattu S.Viji | TVK | Thiruverumbur
K. P Krishnan | TVK | Lalgudi
V.Saravanan | TVK | Manachanallur
N.Vignesh | TVK | Musiri
K.Sivakumar | TVK | Thuraiyur
K.Sivakumar | TVK | Perambalur
M.Revathi | TVK | Kunnam
M.Sivakumar | TVK | Ariyalur
Kavitha G Rajendran | TVK | Jayankondam
Rajasekar | TVK | Tittagudi (SC)
S.Vijay | TVK | Vridhachalam
K.Anand | TVK | Neyveli
M.Manikandan | TVK | Panruti
V.Rajkumar | TVK | Cuddalore
D.Mahalingam | TVK | Bhuvanagiri
Dr N.Pari | TVK | Chidambaram
S.Srinivasan | TVK | Kattumannarkoil(SC)
C.S.Gopinath | TVK | Sirkazhi
C.S.Arun Rasheeth | TVK | Mayiladuthurai
K.Vijayalayan | TVK | Poompuhar
N.Sukumar | TVK | Nagapattinam
D.A.P.Senthilpandiyan | TVK | Kilvelur
A.Kingsley Gerald | TVK | Vedaranyam
S.Pandiyan | TVK | Thiruthuraipoondi
UVM Rajarajan | TVK | Mannargudi
V. Veeramani | TVK | Thiruvarur
S. Prabhakaran | TVK | Nannilam
S. Prabhakaran | TVK | Thiruvidaimarudur
R. Vinoth | TVK | Kumbakonam
U. Azarudeen | TVK | Papanasam
M . Manikandan | TVK | Thiruvaiyaru
R. Vijay Saravanan | TVK | Thanjavur
Dr. K Aravind | TVK | Orathanadu
C Madhan | TVK | Pattukkottai
T Chandra Kaandeeban | TVK | Peravurani
N Subramanian | TVK | Gandharvakottai
P Murugesan | TVK | Viralimalai
K.M Shareef | TVK | Pudukkottai
C Sindhamani | TVK | Thirumayam
Durai Kandasamy | TVK | Alangudi
J Mohamad Parvez | TVK | Aranthangi
Dr. T. K. Prabhu | TVK | Karaikudi
Srinivasa Sethupathi | TVK | Tiruppattur
Kulandhai Rani Nachiar | TVK | Sivaganga
D. Ilangovan | TVK | Manamadurai
A. Madurai Veeran | TVK | Melur
M.V.Karuppaiah | TVK | Sholavandan
A.Kallanai | TVK | Madurai North
J. Jo Peter | TVK | Madurai South
V.N.S.Mustafa | TVK | Madurai Central
S.R.Thangapandi | TVK | Madurai West
CTR.Nirmalkumar | TVK | Thiruparankundram
N.Sathish Kumar | TVK | Thirumangalam
Vijay Mahalingam | TVK | Usilampatti
V.Pandi | TVK | Andipatti
G.Sabari | TVK | Periyakulam
S.Prakash | TVK | Bodinayakanur
P.L.A Jaganath | TVK | Cumbum
K.Jagadeeswari | TVK | Rajapalayam
A.Karthik | TVK | Srivilliputhur
M.Ajith | TVK | Sattur
Keerthana | TVK | Sivakasi
S.P.Selvam | TVK | Virudhunagar
K.Karthik kumar | TVK | Aruppukkottai
S.Samayan | TVK | Tiruchuli
G.Gopinathan | TVK | Paramakudi
V.K.Raji | TVK | Tiruvadanai
E.K.Sahul Hameed | TVK | Ramanathapuram
V.Malarvizhi Jayabala | TVK | Mudhukulathur
Kasiram | TVK | Vilathikulam
A.Srinath | TVK | Thoothukkudi
P.Madhanraja | TVK | Ottapidaram
S.Balasubramaniam | TVK | Kovilpatti
C.Ramarajan | TVK | Sankarankovil
R.Amudha Rani | TVK | Vasudevanallur
R.K.Abdul Jalil | TVK | Kadayanallur
A.Rajaprakash | TVK | Tenkasi
V.Vipin Chakravarthi | TVK | Alangulam
S.Rajagopal | TVK | Ambasamudram
S.Maria John | TVK | Palayamkottai
Rettiyapatti Narayanan | TVK | Nanguneri
K.Satheesh Christopher | TVK | Radhapuram
S.R.Madhavan | TVK | Kanniyakumari
Pervin Kings | TVK | Nagercoil
Prem Alex Lawrence | TVK | Colachel
S.Krishnakumar | TVK | Padmanabhapuram
K.Michael Kumar | TVK | Vilavancode
S.Sabeer | TVK | Killiyoor
V M Karthikeyan | TMC(M) | Ranipet
Vidiyal S Sekar | TMC(M) | Oddanchatram
M.K.R. Ashok Kumar | TMC(M) | Kumbakonam
Dr J. Nivin Simon | TMC(M) | Killiyoor
Venkatesan | IJK | Pallavaram
Saranya | IJK | Kunnam
