K.p.anbazhagan | Palacode | AIADMK | 12th Pass,"Trb Raja | Mannargudi | DMK | ? 41,81,59,401",Trb Raja | Mannargudi | DMK | 2,,,
I.p.senthilkumar | Palani | DMK | Post Graduate,"Rajakumar | Mayiladuthurai | INC | ? 8,27,82,454",Rajakumar | Mayiladuthurai | INC | 1,,,
Abdul Wahab | Palayamkottai | DMK | Graduate,"Periyapulla @ Selvam | Melur | AIADMK | ? 1,90,19,770",Periyapulla @ Selvam | Melur | AIADMK | 0,,,
M.s.m.anandhan | Palladam | AIADMK | 10th Pass,"A.k.selvaraj | Mettuppalayam | AIADMK | ? 1,04,70,989",A.k.selvaraj | Mettuppalayam | AIADMK | 0,,,
Karunanidhi | Pallavaram | DMK | 10th Pass,"Sadhasivam | Mettur | PMK | ? 2,78,12,072",Sadhasivam | Mettur | PMK | 2,,,
Velmurugan | Panruti | TVK | Graduate,"C.k.saraswathi | Modakkurichi | BJP | ? 11,87,79,515",C.k.saraswathi | Modakkurichi | BJP | 0,,,
M. H. Jawahirullah | Papanasam | MMK | Doctorate,"Raja Kannapan | Mudhukulathur | DMK | ? 1,40,07,776",Raja Kannapan | Mudhukulathur | DMK | 0,,,
A.govindasami | Pappireddippatti | AIADMK | 12th Pass,"N.thiyagarajan | Musiri | DMK | ? 67,85,000",N.thiyagarajan | Musiri | DMK | 24,,,
Murugesan | Paramakudi | DMK | 5th Pass,Mylai Velu | Mylapore | DMK | ? NA,Mylai Velu | Mylapore | DMK | NA,,,
S.sekar | Paramathi-Velur | AIADMK | Graduate Professional,"Aloor Shanavas | Nagapattinam | VCK | ? 27,85,391",Aloor Shanavas | Nagapattinam | VCK | 1,,,
Annadurai | Pattukkottai | DMK | Graduate Professional,"M.r.gandhi | Nagercoil | BJP | ? 50,50,000",M.r.gandhi | Nagercoil | BJP | 0,,,
G.k.mani | Pennagaram | PMK | 12th Pass,"P. Ramalingam | Namakkal | DMK | ? 27,55,60,913",P. Ramalingam | Namakkal | DMK | 0,,,
M Prabhakaran | Perambalur | DMK | Post Graduate,Ruby R.manoharan | Nanguneri | INC | ? NA,Ruby R.manoharan | Nanguneri | INC | NA,,,
R D Sekar | Perambur | DMK | Graduate Professional,"R.kamaraj | Nannilam | AIADMK | ? 3,13,06,770",R.kamaraj | Nannilam | AIADMK | 1,,,
N Ashok Kumar | Peravurani | DMK | 10th Pass,"Vishwanathan | Natham | AIADMK | ? 4,62,67,279",Vishwanathan | Natham | AIADMK | 3,,,
K S Saravanakumar | Periyakulam | DMK | Post Graduate,"Saba Rajendiran | Neyveli | DMK | ? 6,20,90,178",Saba Rajendiran | Neyveli | DMK | 7,,,
Jayakumar | Perundurai | AIADMK | Others,"S. Thenmozhi | Nilakkottai | AIADMK | ? 17,45,34,231",S. Thenmozhi | Nilakkottai | AIADMK | 0,,,
Jayaraman | Pollachi | AIADMK | Doctorate,"R. Sakkarapani | Oddanchatram | DMK | ? 9,48,67,797",R. Sakkarapani | Oddanchatram | DMK | 6,,,
Agri Krishnamoorthy | Polur | AIADMK | Graduate Professional,"R.mani | Omalur | AIADMK | ? 4,98,71,511",R.mani | Omalur | AIADMK | 1,,,
Durai Chandrasekhar | Ponneri | INC | Graduate Professional,"Vaithiyalingam | Orathanadu | AIADMK | ? 3,27,67,707",Vaithiyalingam | Orathanadu | AIADMK | 0,,,
Nivetha Murugan | Poompuhar | DMK | NA,"Shanmugayyaa | Ottapidaram | DMK | ? 1,42,58,275",Shanmugayyaa | Ottapidaram | DMK | 10,,,
A Krishnasami | Poonamallee | DMK | Graduate Professional,"Mano Thangaraj | Padmanabhapuram | DMK | ? 23,39,869",Mano Thangaraj | Padmanabhapuram | DMK | 29,,,
Muthuraja | Pudukkottai | DMK | Graduate Professional,"K.p.anbazhagan | Palacode | AIADMK | ? 18,83,04,297",K.p.anbazhagan | Palacode | AIADMK | 0,,,
M.appavu | Radhapuram | DMK | 12th Pass,"I.p.senthilkumar | Palani | DMK | ? 8,06,15,229",I.p.senthilkumar | Palani | DMK | 14,,,
