2021 Assembly Election DMK Candidates List,2021 Assembly Election AIADMK Candidates List,2021 Assembly Election BJP Candidates List,2021 Assembly Election INC Candidates,2021 Assembly Election MDMK Candidates List,2021 Assembly Election PMK Candidates List,2021 Assembly Election VCK Candidates List ,2021 Assembly Election PMK Candidates List
Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,
---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,
"A V Velu | Tiruvannamalai | 1,37,876 | 66.02% | WON","Chakkarabani | Vanur | 92,219 | 50.61% | WON",,,,,,
"Ku Pichchaandi | Kilpennathur | 1,04,675 | 51.34% | WON","Shanmugam C Ve | Villupuram | 87,403 | 42.66% | LOST",,,,,,
"Pe Su Thi Saravanan | Kalasapakkam | 94,134 | 47.92% | WON","Muthutamilselvan | Vikravandi | 84,157 | 43.47% | LOST",,,,,,
"K V Sekaran | Polur | 88,007 | 43.57% | LOST","Kumaraguru | Ulundurpettai | 1,10,195 | 45% | LOST",,,,,,
"S S Anbazhagan | Arani | 99,833 | 45.09% | LOST","A. Santosh | Rishivandiyam | 72,184 | 33.56% | LOST",,,,,,
"O Jothi | Cheyyar | 1,02,460 | 47.78% | WON","Senthilkumar | Kallakurichi | 1,10,643 | 48.99% | WON",,,,,,
"S Ambethkumar | Vandavasi | 1,02,064 | 54.88% | WON","Nallathambi | Gangavalli | 89,568 | 48.02% | WON",,,,,,
"K S Masthan | Gingee | 1,09,625 | 52.99% | WON","Jayasankaran | Attur | 95,308 | 47.72% | WON",,,,,,
"Masilamani | Mailam | 78,814 | 44.53% | LOST","Chitra | Yercaud | 1,21,561 | 50.88% | WON",,,,,,
"Seethapathi Chokkalingam | Tindivanam | 77,399 | 42.4% | LOST","R.mani | Omalur | 1,42,488 | 57.22% | WON",,,,,,
"R Lakshmanan | Villupuram | 1,02,271 | 49.92% | WON","Palaniswami. K | Edappadi | 1,63,154 | 65.97% | WON",,,,,,
"Na Pugazhendhi | Vikravandi | 93,730 | 48.41% | WON","Sundaraj | Sankari | 1,15,472 | 49.72% | WON",,,,,,
"K.ponmudi | Tirukkoyilur | 1,10,980 | 56.56% | WON","Venkatachalam | Salem (North) | 85,844 | 42.42% | LOST",,,,,,
"A J Manikannan | Ulundurpettai | 1,15,451 | 47.15% | WON","Balasubramanian | Salem (South) | 97,506 | 48.76% | WON",,,,,,
"Vasantham Karthikeyan | Rishivandiyam | 1,13,912 | 52.96% | WON","M.raja | Veerapandi | 1,11,682 | 49.92% | WON",,,,,,
"Tha Udhayasuriyan | Sankarapuram | 1,21,186 | 56.16% | WON","V.saroja | Rasipuram | 88,775 | 45.09% | LOST",,,,,,
"Rekha Priyadarshini | Gangavalli | 82,207 | 44.08% | LOST","Chandran | Senthamangalam | 80,188 | 40.25% | LOST",,,,,,
"Chinnadurai | Attur | 87,051 | 43.58% | LOST","Kpp Baskar | Namakkal | 78,633 | 38.03% | LOST",,,,,,
"C Tamilselvan | Yercaud | 95,606 | 40.02% | LOST","S.sekar | Paramathi-Velur | 86,034 | 46.83% | WON",,,,,,
"S Seenivasa Perumal | Mettur | 96,399 | 44.13% | LOST","Pon Saraswathi | Tiruchengodu | 78,826 | 42.69% | LOST",,,,,,
"Sampath Kumar | Edappadi | 69,352 | 28.04% | LOST","Thangamani | Kumarapalayam | 1,00,800 | 49.92% | WON",,,,,,
"K.m.rajesh | Sankari | 95,427 | 41.09% | LOST","Kv Ramalingam | Erode (West) | 78,668 | 38.27% | LOST",,,,,,
"A.rajendran | Salem (West) | 83,984 | 38.77% | LOST","A.s.ramalingam | Kangayam | 86,866 | 43.47% | LOST",,,,,,
"R Rajendhiran | Salem (North) | 93,432 | 46.17% | WON","Jayakumar | Perundurai | 85,125 | 44.84% | WON",,,,,,
"A S Saravanan | Salem (South) | 74,897 | 37.45% | LOST","K.c.karupannan | Bhavani | 1,00,915 | 50.11% | WON",,,,,,
"Dr.tharun | Veerapandi | 91,787 | 41.03% | LOST","K.s.shanmugavel | Anthiyur | 77,821 | 44.12% | LOST",,,,,,
"Dr.m.madhivendhan | Rasipuram | 90,727 | 46.08% | WON","K.a.sengottayan | Gobichettipalayam | 1,08,608 | 50.68% | WON",,,,,,
"K Ponnusami | Senthamangalam | 90,681 | 45.51% | WON","Bannari | Bhavanisagar | 99,181 | 49.45% | WON",,,,,,
"P. Ramalingam | Namakkal | 1,06,494 | 51.51% | WON","Pon Jeyaseelan | Gudalur | 64,496 | 46.65% | WON",,,,,,
"K S Moorthy | Paramathi-Velur | 78,372 | 42.66% | LOST","Kappachi D Vinoth | Coonoor | 57,715 | 42.47% | LOST",,,,,,
"M.venkatachalam | Kumarapalayam | 69,154 | 34.25% | LOST","A.k.selvaraj | Mettuppalayam | 1,05,231 | 46.75% | WON",,,,,,
"S. Muthusami | Erode (West) | 1,00,757 | 49.01% | WON","Dhanapal | Avanashi (SC) | 1,17,284 | 55.16% | WON",,,,,,
"Subbulakshmi Jegadeeshan | Modakkurichi | 77,844 | 42.81% | LOST","Vijayakumar | Tiruppur (North) | 1,13,384 | 47.62% | WON",,,,,,
"Kayalvizhi Selvaraj | Dharapuram (SC) | 89,986 | 46.39% | WON","Gunasekaran | Tiruppur (South) | 70,826 | 40.61% | LOST",,,,,,
"Saminathan | Kangayam | 94,197 | 47.14% | WON","M.s.m.anandhan | Palladam | 1,26,903 | 48.53% | WON",,,,,,
"K P Durairaj | Bhavani | 78,392 | 38.93% | LOST","Vp Kandhasamy | Sulur | 1,18,968 | 49.23% | WON",,,,,,
"Venkatachalam | Anthiyur | 79,096 | 44.84% | WON","Arunkumar | Kavundampalayam | 1,35,669 | 43.78% | WON",,,,,,
"Manimarang.v. | Gobichettipalayam | 80,045 | 37.36% | LOST","Amman Archunan | Coimbatore (North) | 81,454 | 40.16% | WON",,,,,,
"S Kasilingam | Gudalur | 62,551 | 45.24% | LOST","S.p.velumani | Thondamuthur | 1,24,225 | 53.89% | WON",,,,,,
"K. Ramachandran | Coonoor | 61,820 | 45.49% | WON","K.r.jayaram | Singanallur | 81,244 | 40.22% | WON",,,,,,
